50 1045
0 3 4374
0 5 7818
0 6 7332
0 8 8755
0 10 3853
0 11 9117
0 15 2799
0 16 4983
0 18 5789
0 19 4820
0 20 7276
0 21 4785
0 25 3891
0 27 3661
0 29 8818
0 30 7658
0 32 5995
0 33 1092
0 34 7719
0 35 2272
0 38 6989
0 40 4029
0 41 6440
0 45 8888
1 0 9496
1 5 6126
1 6 1965
1 8 1927
1 10 8078
1 11 1540
1 15 7558
1 16 5452
1 18 8414
1 19 8639
1 20 209
1 21 2965
1 25 804
1 26 5132
1 27 9999
1 28 6486
1 29 7077
1 30 2669
1 31 2588
1 32 8652
1 33 6430
1 34 7919
1 35 5564
1 38 8027
1 40 4614
1 41 314
1 45 5270
1 47 7496
2 0 3911
2 1 1930
2 4 5869
2 5 8854
2 6 1791
2 7 6439
2 8 9935
2 9 6909
2 10 4864
2 11 894
2 12 1012
2 14 1350
2 15 9731
2 16 841
2 17 6147
2 18 7330
2 19 1508
2 20 9557
2 21 9366
2 22 883
2 24 253
2 25 7716
2 26 5970
2 27 5393
2 28 6785
2 29 8429
2 30 815
2 31 8612
2 32 9616
2 33 6442
2 34 820
2 35 2562
2 37 3365
2 38 7438
2 40 6097
2 41 4924
2 42 6836
2 43 4404
2 44 8378
2 45 4275
2 46 4493
2 47 3141
2 48 9404
2 49 7177
3 13 1201
3 39 8660
4 0 7780
4 1 620
4 5 4057
4 6 6604
4 7 828
4 8 9961
4 10 5689
4 11 6537
4 15 7478
4 16 9894
4 18 1841
4 19 6067
4 20 7772
4 21 5596
4 25 2941
4 26 7108
4 27 8152
4 28 4628
4 29 2822
4 30 2666
4 31 9089
4 32 3795
4 33 2202
4 34 8395
4 35 48
4 38 5209
4 40 7094
4 41 8263
4 45 3525
4 47 4869
5 11 4423
5 15 6332
5 18 5036
5 20 8311
5 29 76
5 34 307
5 41 7693
6 5 2001
6 11 6152
6 15 5928
6 18 5539
6 20 7456
6 29 149
6 34 3610
6 41 9383
7 0 8578
7 1 7731
7 5 605
7 6 3898
7 8 5186
7 10 3887
7 11 8281
7 15 2013
7 16 4256
7 18 5105
7 19 3130
7 20 6726
7 21 6414
7 25 4206
7 26 50
7 27 6277
7 28 7363
7 29 2829
7 30 6738
7 31 3953
7 32 223
7 33 8993
7 34 7957
7 35 9341
7 38 7549
7 40 4245
7 41 1252
7 45 6405
7 47 2098
8 5 1187
8 6 8084
8 11 2093
8 15 5435
8 18 3587
8 19 2427
8 20 3547
8 21 5035
8 29 122
8 30 4732
8 32 4914
8 34 3136
8 41 600
8 45 8534
9 0 3981
9 1 2214
9 4 442
9 5 1897
9 6 2330
9 7 588
9 8 980
9 10 3222
9 11 8827
9 15 6109
9 16 6538
9 18 4923
9 19 367
9 20 5512
9 21 1665
9 24 6063
9 25 7570
9 26 9578
9 27 5366
9 28 6789
9 29 3565
9 30 436
9 31 6360
9 32 3858
9 33 8397
9 34 9040
9 35 1920
9 37 7018
9 38 2011
9 40 6586
9 41 4690
9 42 4602
9 43 3965
9 45 1394
9 46 7432
9 47 351
9 48 5207
10 5 1032
10 6 8277
10 8 9471
10 11 1901
10 15 3896
10 18 2393
10 19 7129
10 20 6111
10 21 8704
10 29 258
10 30 4240
10 32 3568
10 34 4336
10 40 3426
10 41 4123
10 45 2793
11 4 9603
12 0 2907
12 1 5146
12 4 2385
12 5 4343
12 6 7100
12 7 6247
12 8 5934
12 9 501
12 10 2824
12 11 5243
12 14 9972
12 15 3346
12 16 3198
12 17 7259
12 18 727
12 19 8177
12 20 2555
12 21 6841
12 22 2872
12 24 5239
12 25 5441
12 26 7035
12 27 2051
12 28 1105
12 29 7027
12 30 5329
12 31 8002
12 32 5928
12 33 2629
12 34 347
12 35 7716
12 37 9226
12 38 1233
12 40 4386
12 41 1090
12 42 59
12 43 7402
12 44 197
12 45 3915
12 46 1950
12 47 6169
12 48 1315
12 49 6568
13 3 5174
13 23 4456
14 0 7934
14 1 1327
14 4 256
14 5 9796
14 6 484
14 7 2662
